Symbol,Total ESG Risk score,Environment Risk Score,Social Risk Score,Governance Risk Score,Text Chunk
NVDA,13.6,2.3,4.9,6.3,the right lens for evaluating ai costs and energy is longitudinal not just training but the long view across the entire lifecycle and downstream impact of the ai model created the compounded benefits can be immense when analyzed longitudinally ai will be utterly transformative in driving industrial productivity and use less energy time and cost ai drives productivity eliminates waste saves energy we are working with companies worldwide to apply ai s revolutionary capabilities to save energy researchers use ai to discover safer better performing batteries that use fewer natural resources microsoft and pacific northwest national laboratory used nvidia accelerated computing to screen over million potential materials in approximately one week they identified promising candidates including a new electrolyte material containing lithium and sodium ions
NVDA,13.6,2.3,4.9,6.3,they identified promising candidates including a new electrolyte material containing lithium and sodium ions this new material reduces lithium usage by up to compared to conventional batteries energy companies are embracing ai to reduce operations environmental footprint automating labor intensive tasks and enabling real time intelligence at the grid edge portland general electric is using nvidia ai inside electric meters to direct more renewable energy sources into the power grid reduce power outages accelerate recovery from storms and ultimately decrease operational costs for the electrical grid cadence creates ai chip design tools that speed development and help chips run faster use less energy and cost less mediatek whose chips power over billion connected devices has already created a smaller die and reduced power by using this approach that energy savings will be enjoyed by millions of people
NVDA,13.6,2.3,4.9,6.3,that energy savings will be enjoyed by millions of people so the amount of energy we will save for the world by designing better software chips and systems has a perpetual benefit to society ai helps us adapt to climate change one of ai s most exciting applications is our earth platform by teaching an ai to recognize and predict weather patterns nvidia s digital twin of our planet can predict atmospheric pressure temperature precipitation wind speed and direction and humidity at an unprecedented scale of two kilometers once the earth model
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability message from our ceo message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators is trained it can predict weather x faster and x more energy efficiently than traditional physics models we want earth to be available to researchers everywhere so we made apis available via our dgx cloud this advances climate research and contributes to environmental sustainability by reducing the need for physics simulations on supercomputers and their associated carbon footprint earth also democratizes high resolution weather prediction and improves predicting and tracking severe storms to mitigate economic impacts
NVDA,13.6,2.3,4.9,6.3,earth also democratizes high resolution weather prediction and improves predicting and tracking severe storms to mitigate economic impacts the weather company and the central weather administration of taiwan plans to use earth to catalyze proactive decision making guiding companies organizations and nations in answering what if scenarios and anticipating unprecedented weather to enable actionable outcomes spanning policy formulation urban development and infrastructure planning an operating system for industrial digitalization earth is an example of a digital twin that models and predicts complex physical and dynamical systems earth runs in nvidia omniverse a powerful virtual world simulation engine where computer graphics physics and ai intersect we created omniverse to represent and model the physical world so that engineers can develop ais and robotic systems that can understand and operate in industrial applications
NVDA,13.6,2.3,4.9,6.3,we created omniverse to represent and model the physical world so that engineers can develop ais and robotic systems that can understand and operate in industrial applications inside omniverse companies can operate and optimize digital twins of their physical infrastructures such as factories warehouses farms and processing plants these virtual replicas enable businesses to identify areas for improvement and reduce costs material consumption and energy usage all critical factors in achieving sustainability goals the world s heavy industries represent a staggering trillion in value and are responsible for a significant portion of global energy consumption nvidia can profoundly impact sustainability efforts by digitalizing these industries through omniverse and leveraging the power of generative ai a computing platform shift a new industrial revolution nvidia accelerated computing has reached a tipping point
NVDA,13.6,2.3,4.9,6.3,industry is urgently adopting nvidia as the same architecture is needed to save energy time and cost as well as for generative ai the combination of accelerated computing and generative ai drives a complete full stack computing platform shift transforming every industry the new computing stack generative ai has fundamentally changed how computers work from instruction driven to intention driven computers generative ai changes how we use computers from searching and retrieving pre packaged content to interacting with real time generated information unique for every context generative ai is transforming the computer industry that produces software into one that manufactures digital intelligence most importantly generative ai is a new tool for scientists and engineers to discover solutions for previously intractable challenges to create a sustainable future
NVDA,13.6,2.3,4.9,6.3,most importantly generative ai is a new tool for scientists and engineers to discover solutions for previously intractable challenges to create a sustainable future i am incredibly proud of the strides we are making together our team partners and global community thank you for joining us on this transformative journey together we are setting new standards for what technology can achieve for the planet and future generations jensen huang ceo and co founder nvidia
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability introduction message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators introduction fy highlights about nvidia employees globally countries nvidia operates in globally on glassdoor s list of best employers climate and efficiency renewable electricity in fy x energy efficiency of nvidia blackwell gpus over cpus for certain ai and hpc workloads supercomputer on the june green is powered by nvidia people diversity and inclusion board of directors is racially or gender diverse employees participated in our mentorship program overall turnover rate compared to the semiconductor industry average of product value chain scope category ghg emissions covered in supplier engagement efforts suppliers audited in the past two years nvidia gpu systems packaging was recyclable materials by weight
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability introduction message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators about nvidia nvidia pioneered accelerated computing to help solve the most challenging computational problems nvidia is a full stack computing infrastructure company with data center scale offerings that are reshaping industry our full stack includes the foundational cuda programming model that runs on all nvidia gpus as well as hundreds of domain specific software libraries software development kits and application programming interfaces this deep and broad software stack accelerates the performance and eases the deployment of nvidia accelerated computing for computationally intensive workloads such as ai model training and inference data analytics scientific computing and d graphics
NVDA,13.6,2.3,4.9,6.3,it enables vertical specific optimizations to address industries ranging from healthcare and telecom to automotive and manufacturing our data center scale offerings are comprised of compute and networking solutions that can scale to tens of thousands of gpu accelerated servers interconnected to function as a single giant computer this type of data center architecture and scale is needed for the development and deployment of modern ai applications the gpu was initially used to simulate human imagination enabling the virtual worlds of video games and films today it also simulates human intelligence enabling a deeper understanding of the physical world its parallel processing capabilities supported by thousands of computing cores are essential for deep learning algorithms
NVDA,13.6,2.3,4.9,6.3,its parallel processing capabilities supported by thousands of computing cores are essential for deep learning algorithms this form of ai in which software writes itself by learning from large amounts of data can serve as the brain of computers robots and self driving cars that can perceive and understand the world gpu powered ai solutions are being developed by thousands of enterprises to deliver services and products that would have been immensely difficult or even impossible with traditional coding examples include generative ai which can create new content such as text code images audio video and molecule structures and recommender systems which can suggest highly relevant content such as products services or ads using deep neural networks trained on vast datasets that capture user preferences
NVDA,13.6,2.3,4.9,6.3,nvidia has a platform strategy bringing together hardware systems software algorithms libraries and services to create unique value for the markets we serve while the computing requirements of these end markets are diverse we address them with a unified underlying architecture leveraging our gpus and networking and software stacks the programmable nature of our architecture allows us to support several multi billion dollar end markets with the same underlying technology by using a variety of software stacks developed either internally or by third party developers and partners the large and growing number of developers and installed base across our platforms strengthens our ecosystem and increases the value of our platform to our customers innovation is at our core we ve invested over billion in research and development since our inception yielding inventions that are essential to modern computing
NVDA,13.6,2.3,4.9,6.3,innovation is at our core we ve invested over billion in research and development since our inception yielding inventions that are essential to modern computing our invention of the gpu in sparked the growth of the pc gaming market and redefined computer graphics with our introduction of the cuda programming model in we opened the parallel processing capabilities of our gpu to a broad range of compute intensive applications paving the way for the emergence of modern ai in the alexnet neural network trained on nvidia gpus won the imagenet computer image recognition competition marking the big bang moment of ai we introduced our first tensor core gpu in built from the ground up for the new era of ai and our first autonomous driving system on chips or soc in
NVDA,13.6,2.3,4.9,6.3,we introduced our first tensor core gpu in built from the ground up for the new era of ai and our first autonomous driving system on chips or soc in our acquisition of mellanox in expanded our innovation canvas to include networking and led to the introduction of a new processor class the data processing unit or dpu over the past five years we ve built full software stacks that run on top of our gpus and cuda to bring ai to the world s largest industries including the nvidia drive stack for autonomous driving clara for healthcare and omniverse for industrial digitalization and introduced the nvidia ai enterprise software essentially an operating system for enterprise ai applications in we introduced our first data center cpu grace built for giant scale ai and high performance computing nvidia s sustainability reporting follows our fiscal calendar fy data corresponds to the period january to january
NVDA,13.6,2.3,4.9,6.3,nvidia s sustainability reporting follows our fiscal calendar fy data corresponds to the period january to january sustainability governance we assess corporate sustainability impacts to identify our key social and environmental impacts leveraging stakeholder expectations market trends and risks as well as opportunities in the process we plan to conduct a double materiality assessment assessing sustainability issues based on both financial and impact materiality by the end our fiscal year ending january
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability introduction message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators the determination of sustainability topics to be covered in our report reflects the assessment of our impacts stakeholder expectations and frameworks and initiatives such as the global reporting initiative gri sustainability accounting standards board sasb the task force for climate related financial disclosures tcfd and the united nations sustainable development goals un sdg these topics reflect our values social and environmental contributions as well as matters we believe are essential to our continued business success
NVDA,13.6,2.3,4.9,6.3,these topics reflect our values social and environmental contributions as well as matters we believe are essential to our continued business success the nominating and corporate governance ncg committee of our board of directors board is responsible for reviewing and discussing with management our policies issues and reporting related to sustainability including overall sustainability strategy risks and opportunities and related programs and initiatives our corporate sustainability team updates the ncg committee at least semiannually on these topics as well as pertinent regulations and stakeholder inputs and gathers feedback from the ncg committee on issues such as climate change human rights and diversity and inclusion the corporate sustainability team also reports on sustainability issues to the full board annually
NVDA,13.6,2.3,4.9,6.3,the corporate sustainability team also reports on sustainability issues to the full board annually in fy we formally launched a corporate sustainability steering css committee comprised of members of our executive leadership team the css committee is responsible for overseeing and providing input on our sustainability strategy and program feedback from the board the ncg and css committees along with specific input from our executive team helps to determine the focus and scope of our sustainability strategy and program board of directors nominating and corporate governance committee corporate sustainability steering committee sustainability team societal impact ai represents the most profound technological shift in our era touching virtually every industry including robotics cybersecurity finance healthcare transportation retail and customer service
NVDA,13.6,2.3,4.9,6.3,nvidia accelerates this revolution by creating advanced computing tools that serve as open platforms for developers researchers and data scientists to innovate in these areas we aim to improve outcomes for everyday people while tackling future challenges by delivering new technologies and workforce training programs to enhance industrial development and advance generative ai research we believe our technology can spur economic growth create good paying jobs and improve the health and well being of people globally healthcare nvidia invented accelerated computing two decades ago to solve problems that were beyond the reach of existing systems nvidia technology enables healthcare institutions to harness the power of ai and hpc to reinvent drug discovery surgery medical imaging and wearable devices
NVDA,13.6,2.3,4.9,6.3,nvidia technology enables healthcare institutions to harness the power of ai and hpc to reinvent drug discovery surgery medical imaging and wearable devices researchers can use accelerated computing to virtually model millions of molecules and screen hundreds of potential drugs simultaneously and ai to help discover and develop drugs faster and at a lower cost generative ai models can propose designs for candidate molecules and predictive models to evaluate designs bridge the gap between lab experiments and computational algorithms and accelerate drug discovery pipelines to improve patient outcomes and save lives ai and accelerated computing are unlocking new possibilities in genome sequencing workflows which help clinicians diagnose critically ill patients or researchers to discover new drug targets
NVDA,13.6,2.3,4.9,6.3,ai and accelerated computing are unlocking new possibilities in genome sequencing workflows which help clinicians diagnose critically ill patients or researchers to discover new drug targets hpc can accelerate genome analysis to help identify rare diseases and bring tailored therapeutics to market faster advancing the journey to precision medicine climate action nvidia s ai technologies can transform climate research and help the world mitigate and adapt to the impacts of climate change our earth initiative aims to harness ai and high performance computing to unlock the potential of vast quantities of climate data to inform decision making
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability introduction message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators the increased frequency and severity of extreme weather and climate events underscores a critical need for accurate weather forecasting especially with the rise in severe weather occurrences such as blizzards hurricanes and heatwaves as extreme weather events occur with greater frequency and often with little warning meteorology centers can use accelerated computing to generate more accurate timely forecasts that improve readiness and response in addition to powering climate and weather simulations ai is accelerating the energy transition by making industrial scale renewable energy more efficient and economically viable
NVDA,13.6,2.3,4.9,6.3,in addition to powering climate and weather simulations ai is accelerating the energy transition by making industrial scale renewable energy more efficient and economically viable ai can also optimize solar and wind farms enhance power grid reliability and resilience advance carbon capture and power fusion breakthroughs nvidia led a climate tech engagement during the apec ceo summit which included hosting women led climate startups at hq judging the apec catalyst pitch competition and demoing ai technologies like earth to the u s state department and thinktank scsp investors we host quarterly calls with investors to discuss corporate sustainability topics community nvidians and the company contribute through the nvidia foundation governments we brief regulators and thinktanks on topics related to ai startups our inception program includes startups focused on climate and energy
NVDA,13.6,2.3,4.9,6.3,governments we brief regulators and thinktanks on topics related to ai startups our inception program includes startups focused on climate and energy supply chain we conduct quarterly business reviews with strategic suppliers customers we respond to customer cdp and ecovadis requests nvidia our approach to stakeholder engagement community nvidians and the company contribute through the nvidia foundation
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability climate and efficiency message from our ceo introduction climate and efficiency people diversity and inclusion product value chain responsible business sustainability indicators climate and efficiency product energy efficiency improving performance and energy efficiency is a principal goal in each step of our research development and design processes we develop hardware software and networking technology to improve performance and energy efficiency helping our customers solve problems and decrease emissions intensity ai models are exploding in complexity and size as they enhance generative ai and enable scientific discoveries and modern data centers require accelerated computing platforms to effectively execute these workloads accelerated computing is the use of specialized hardware to dramatically speed up computation by parallel processing that bundles frequently occurring tasks
NVDA,13.6,2.3,4.9,6.3,accelerated computing is the use of specialized hardware to dramatically speed up computation by parallel processing that bundles frequently occurring tasks it offloads demanding work that can bog down traditional processors that typically execute tasks in serial fashion and offers lower overall costs higher performance and greater energy efficiency acceleration completes larger workloads more quickly returning the computer to a low power idle state when done and consuming significantly less energy overall when compared to traditional computing pascal tflops fp tflops volta tflops fp ampere tflops bf fp hopper tflops fp blackwell tflops fp x ai compute in years over the course of the last years
NVDA,13.6,2.3,4.9,6.3,we ve increased computation by x nvidia blackwell gpus are generally x more energy efficient than traditional cpus for certain ai and high performance computing hpc workloads and nvidia dpus can reduce power consumption by by offloading essential data center networking and infrastructure functions from less efficient cpus if these hpc and ai workloads were switched from cpu infrastructure to gpu and dpu accelerated operations we estimate the world could save almost trillion watt hours of energy a year equivalent to the electricity requirements of nearly million u s homes energy efficiency is critical as ai models and hpc applications increase exponentially in size
NVDA,13.6,2.3,4.9,6.3,energy efficiency is critical as ai models and hpc applications increase exponentially in size ai workloads such as large language models llms range in size from small scale like gpt j billion parameters to larger scale like gpt billion parameters and of the top systems on the june green list are powered by nvidia including the no spot with the gh grace hopper superchip based jedi system x energy efficiency of nvidia blackwell gpus over cpus for certain ai and hpc workloads t watt hours of energy a year saved if hpc and ai workloads were switched from cpu only servers to gpu accelerated systems
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability report fiscal year
NVDA,13.6,2.3,4.9,6.3,table of contents message from our ceo introduction fy highlights about nvidia sustainability governance our impact energy efficiency and climate product energy efficiency greenhouse gas emissions energy and environment people diversity and inclusion recruitment benefits and compensation pay and promotion engagement and retention learning and development community resource groups product value chain responsible sourcing product environmental impact product quality and safety responsible business our code trustworthy ai human rights sustainability indicators u n sustainable development goals about this report
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability message from our ceo message from our ceo introduction energy efficiency and climate people diversity and inclusion product value chain responsible business sustainability indicators message from our ceo we are living in a historic time the era of ai has arrived and with it a new industrial revolution the shift from general purpose computing to ai is transforming every industry every scientific field and daily life ai is more than a technological shift it s the birth of an entirely new manufacturing industry bringing profound economic and societal opportunities today s data centers built for general purpose computing don t have the performance or efficiency to support ai modernizing more than trillion of data centers is now underway at the center of this transformation is the ai factory where electricity goes in and tokens come out
NVDA,13.6,2.3,4.9,6.3,modernizing more than trillion of data centers is now underway at the center of this transformation is the ai factory where electricity goes in and tokens come out data is transformed into intelligence and intelligence drives the new economy traditional manufacturing runs on megawatt factories but this new industry ai manufacturing is something else entirely each one is a billion investment it takes three years to build and requires a vast new workforce we ll need carpenters steelworkers masons mechanical and electrical engineers and plumbers the tradecraft that will power this new economy then come the experts in computing networking and operations at the next layer ai agents will transform knowledge work assisting doctors financial service professionals and customer care teams at nvidia every software engineer is now assisted by ai the amount of code we produce is extraordinary
NVDA,13.6,2.3,4.9,6.3,at nvidia every software engineer is now assisted by ai the amount of code we produce is extraordinary our productivity has increased dramatically alongside our ability to invest in new ideas and invent more of what the world needs energy is the limiter electricity is the lifeblood of digital intelligence we need more we must build ai factories for this industry to thrive however supplying them with the electricity they will need isn t sustainable with today s energy infrastructure the solution is twofold first we need a national industry focused energy policy supporting this new industry s growth a single ai factory can draw to megawatts on par with the world s largest data centers these systems are being built continuously across industries and nations we appreciate the current administration s leadership here and will contribute however we can
NVDA,13.6,2.3,4.9,6.3,these systems are being built continuously across industries and nations we appreciate the current administration s leadership here and will contribute however we can but in an economy where electricity creates intelligence and intelligence drives revenue removing the energy bottleneck isn t enough we must design ai factories where extreme performance and energy efficiency aren t a tradeoff a new computing platform for a new era we began building toward this future over a decade ago reinventing the entire computing stack from gpu architecture and system design to libraries developer tools and software platforms tailored for specific industries today nvidia is a full stack ai company with more than million developers building ai applications that discover life saving drugs design climate models and optimize global supply chains our blackwell architecture marked a breakthrough moment in computing
NVDA,13.6,2.3,4.9,6.3,our blackwell architecture marked a breakthrough moment in computing in its first quarter blackwell became the fastest
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability message from our ceo message from our ceo introduction energy efficiency and climate people diversity and inclusion product value chain responsible business sustainability indicators ramping product in our history it is the engine of the ai factory and the solution to the data center energy bottlenecks our blackwell platform delivers a x improvement in energy efficiency for llm inference compared to the hopper generation it s not just faster it s fundamentally more efficient accelerated computing is x more energy efficient than traditional computing across a mix of ai workloads with revolutionary density a liquid cooled rack now holds a exaflop system powered by components working as one blackwell s performance per watt and density unlock intelligence production at industrial scale
NVDA,13.6,2.3,4.9,6.3,blackwell s performance per watt and density unlock intelligence production at industrial scale nvidia is investing in u s manufacturing building ai supercomputers for the first time in the u s working with tsmc foxconn wistron amkor and spil nvidia plans to produce up to billion worth of ai infrastructure in the u s over the next four years strengthening supply chain resilience and creating hundreds of thousands of american jobs with this ai infrastructure in place we ll help revolutionize every other industry and ultimately create new ones we ve yet to imagine transforming healthcare and life sciences with ai ai is transforming healthcare from diagnosis to precision treatment and helping accelerate the discovery of life saving drugs our ai platforms are driving breakthroughs in precision drug discovery with partners like genentech and amgen and powering intelligent surgical platforms with johnson johnson medtech
NVDA,13.6,2.3,4.9,6.3,our ai platforms are driving breakthroughs in precision drug discovery with partners like genentech and amgen and powering intelligent surgical platforms with johnson johnson medtech we ve partnered with governments healthcare providers academic institutions and startups to accelerate genomics disease prediction and patient care brainstorm therapeutics uses nvidia bionemo ai models and patient derived brain cell models to accelerate the repurposing of drugs for neurological diseases the team identified donepezil an alzheimer s drug as a potential therapy for rett syndrome applying for an fda cleared phase trial in just nine months compared to years traditionally evo a next generation biomolecular ai model trained on nearly trillion nucleotides predicts protein function identifies potential treatments and evaluates gene mutations accelerating progress in drug discovery biofuels and environmental cleanup
NVDA,13.6,2.3,4.9,6.3,we are building technology to save lives expanding access to ai education and skills we are investing deeply to ensure ai opportunities are accessible to everyone california launched a first of its kind ai education initiative with nvidia to train students and educators statewide preparing thousands for ai careers and driving economic development through the deep learning institute nvidia will provide teaching kits cloud gpu access and workforce certification projects include using omniverse to build digital twins for san jos and training students on underwater data center technology nvidia and the state of oregon announced a new collaboration to build an ai ready workforce anchored by a million investment oregon will gain access to nvidia technologies and training programs to upskill workers foster innovation and drive economic growth across key industries statewide
NVDA,13.6,2.3,4.9,6.3,oregon will gain access to nvidia technologies and training programs to upskill workers foster innovation and drive economic growth across key industries statewide the state of utah launched a new ai education initiative with nvidia to prepare students and professionals for careers in ai beginning with eight top universities educators across utah s universities and colleges will gain certification and access to cloud gpu resources helping build a competitive tech savvy workforce for the future nvidia and partners launched signs an ai powered platform to bridge communication gaps between the deaf and hearing communities users can practice signing with the help of a d avatar and receive real time ai feedback through webcam analysis the project aims to build a validated dataset of video clips covering signed words to support asl education and accessible ai technologies
NVDA,13.6,2.3,4.9,6.3,the project aims to build a validated dataset of video clips covering signed words to support asl education and accessible ai technologies building smarter safer infrastructure the future demands infrastructure that is smarter faster safer and more sustainable ai s earthranger platform trained with nvidia hopper gpus supports conservation efforts across countries and protected areas earthranger aggregates real time data from satellites sensors and field reports to help rangers monitor wildlife prevent poaching and protect ecosystems creating the world s largest database for elephant movement prediction and wildlife management
NVDA,13.6,2.3,4.9,6.3,nvidia sustainability message from our ceo message from our ceo introduction energy efficiency and climate people diversity and inclusion product value chain responsible business sustainability indicators using the earthranger platform ororatech protects critical natural infrastructure with ai powered satellites that run edge computing for real time wildfire detection the system monitors over million hectares of habitat across africa and australia an area nearly the size of germany delivering fire alerts within five minutes to safeguard ecosystems agriculture and communities buzz solutions uses nvidia ai to optimize electric grid operations helping utilities detect infrastructure issues before they cause outages or wildfires its powerguard platform analyzes real time video streams to improve safety and reduce inspection times cutting months of manual review to minutes
NVDA,13.6,2.3,4.9,6.3,its powerguard platform analyzes real time video streams to improve safety and reduce inspection times cutting months of manual review to minutes safeguarding nature and biodiversity ai is playing an increasingly important role in protecting the natural world wildlife protection solutions uses nvidia ai to process wildlife images daily across remote cameras worldwide the system proactively alerts rangers to poachers and at risk animals helping to protect endangered species in more than countries conservation x labs empowers over researchers with ai enabled wildlife population tracking through the wild me platform analyzing a crowdsourced database of million images sentinel devices have delivered actionable insights for species enabling rapid interventions to protect endangered animals
NVDA,13.6,2.3,4.9,6.3,sentinel devices have delivered actionable insights for species enabling rapid interventions to protect endangered animals accelerating climate action with ai we are applying our technology to one of the greatest challenges of our time climate change nvidia earth delivers ai driven global climate simulations x faster and x more energy efficient than traditional models built on dgx cloud and powered by the corrdiff generative ai model earth produces x higher resolution forecasts helping scientists and governments better predict extreme weather and accelerate climate resilience efforts the central weather administration of taiwan and the weather company are adopting nvidia earth apis to improve disaster response and flood prevention
NVDA,13.6,2.3,4.9,6.3,the central weather administration of taiwan and the weather company are adopting nvidia earth apis to improve disaster response and flood prevention using earth taiwan will better forecast typhoon landfalls while the weather company will create higher resolution weather twins to help businesses simulate and mitigate real world weather impacts our commitment to sustainability through all of this we are focused on our sustainability efforts this year our team achieved a major milestone of nvidia s global electricity consumption is powered by or matched with renewable energy we are working to reduce emissions wherever we can for the first time we published a product carbon footprint summary for a gpu accelerated server we found that manufacturing related emissions are significantly lower than previously estimated a testament to the power of ai to optimize products processes and supply chains
NVDA,13.6,2.3,4.9,6.3,we found that manufacturing related emissions are significantly lower than previously estimated a testament to the power of ai to optimize products processes and supply chains ai is already making a major contribution to global sustainability efforts culture community and responsibility helping our communities has always been at the heart of nvidia s culture in fiscal year nvidians donated nearly million and logged over volunteer hours to support more than nonprofits in nearly countries extraordinary people come to nvidia to do their life s work and stay our remarkably low turnover rate compared to the industry average of reflects that one in five employees has been with nvidia for a decade or longer ai represents a generational opportunity on the scale of the ibm system or the advent of the internet but the impact of the ai revolution will surpass anything we ve seen before
NVDA,13.6,2.3,4.9,6.3,ai represents a generational opportunity on the scale of the ibm system or the advent of the internet but the impact of the ai revolution will surpass anything we ve seen before nvidia isn t just part of this revolution we re powering it it s a privilege to contribute to this moment and a responsibility we carry with pride ai factories are here a new industry is rising and with it unprecedented opportunities to build a better future we are making history together jensen huang founder and ceo nvidia
