chunk_id,text_chunk,source_file,page_number
948b13e2-07ff-4da4-9925-fd504c5cc00e,"However, the responsibility for making materiality judgements and determinations rests with
the reporting entity.


Industry Description
The Agricultural Products industry is engaged in processing, trading and distributing vegetables and fruits, and
producing and milling agricultural commodities such as grains, sugar, consumable oils, maize, soybeans and animal
feed.

Entities sell products directly to consumers and businesses for use in consumer and industrial products.

Entities
in the industry typically purchase agricultural products from entities that grow such products (either directly or
indirectly) to then conduct value-adding activities (for example, processing, trading, distributing and milling).


Agricultural products entities also are involved in wholesale and distribution.

Entities in the industry may source a
substantial portion of agricultural commodities from third-party growers in various countries.",data\frameworks\agricultural-products-standard_en-gb.pdf,4
c5769ad7-71d6-4b1a-86ed-e312fd483529,"Entities in the industry may source a
substantial portion of agricultural commodities from third-party growers in various countries.

Therefore, managing
sustainability risks within the supply chain is critical to securing a reliable raw materials supply and reducing the risk of
price increases and volatility over the long term.


SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 5",data\frameworks\agricultural-products-standard_en-gb.pdf,4
8b6197d5-55c0-4d8c-9dc9-7dc28ffb4121,"SUSTAINABILITY DISCLOSURE TOPICS & METRICS
Table 1.

Sustainability Disclosure Topics & Metrics
TOPIC METRIC CATEGORY UNIT OF
MEASURE CODE
Greenhouse
Gas Emissions
Gross global Scope 1 emissions Quantitative Metric tonnes
(t) CO₂-e FB-AG-110a.1
Discussion of long- and short-term
strategy or plan to manage Scope 1
emissions, emissions reduction targets,
and an analysis of performance against
those targets
Discussion and
Analysis n/a FB-AG-110a.2
Fleet fuel consumed, percentage
renewable Quantitative
Gigajoules
(GJ),",data\frameworks\agricultural-products-standard_en-gb.pdf,5
73a9b88f-1452-4a7b-a716-daa5ee1b159e,"Percentage
(%)
FB-AG-110a.3
Energy
Management
(1) Operational energy consumed,
(2) percentage grid electricity and
(3) percentage renewable
Quantitative
Gigajoules
(GJ),
Percentage
(%)
FB-AG-130a.1
Water
Management
(1) Total water withdrawn, (2) total water
consumed; percentage of each in regions
with High or Extremely High Baseline
Water Stress
Quantitative
Thousand
cubic metres
(m³),
Percentage
(%)
FB-AG-140a.1
Description of water management risks
and discussion of strategies and practices
to mitigate those risks
Discussion and
Analysis n/a FB-AG-140a.2
Number of incidents of non-compliance
associated with water quality permits,
standards and regulations
Quantitative Number FB-AG-140a.3
Food Safety
Global Food Safety Initiative (GFSI) audit
(1) non-conformance rates and
(2) associated corrective action rates for
(a) major and (b) minor non-conformances
Quantitative Rate FB-AG-250a.1
Percentage of agricultural products
sourced from suppliers certified to a
Global Food Safety Initiative (GFSI)
recognised food safety certification
programme
Quantitative Percentage
(%) by cost FB-AG-250a.2
(1) Number of recalls issued and (2) total
amount of food product recalled 1 Quantitative Number, Metric
tonnes (t) FB-AG-250a.3
continued...
1",data\frameworks\agricultural-products-standard_en-gb.pdf,5
d400f193-b7af-4398-9420-2fdcda54e76f,"Note to FB-AG-250a.3 – The disclosure shall include a description of notable recalls, such as those that affected a significant amount of
product or those related to serious illnesses or fatalities. 


SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 6",data\frameworks\agricultural-products-standard_en-gb.pdf,5
b16dc265-9935-42c9-b227-fa8dce90ac33,"...continued
TOPIC METRIC CATEGORY UNIT OF
MEASURE CODE
Workforce
Health &
Safety
(1) Total recordable incident rate (TRIR),
(2) fatality rate, and (3) near miss
frequency rate (NMFR) for (a) direct
employees and (b) contract employees
Quantitative Rate FB-AG-320a.1
Environmental
& Social
Impacts of
Ingredient
Supply Chain
(1) Percentage of agricultural products
sourced that are certified to a third-party
environmental or social standard, and
(2) percentages by standard
Quantitative Percentage
(%) by cost FB-AG-430a.1
Suppliers’ social and environmental
responsibility audit (1) non-conformance
rate and (2) associated corrective action
rate for (a) major and (b) minor non-
conformances
Quantitative Rate FB-AG-430a.2
Discussion of strategy to manage
environmental and social risks arising
from contract growing and commodity
sourcing
Discussion and
Analysis n/a FB-AG-430a.3
GMO
Management
Discussion of strategies to manage the
use of genetically modified organisms
(GMOs)
Discussion and
Analysis n/a FB-AG-430b.1
Ingredient
Sourcing
Identification of principal crops and
description of risks and opportunities
presented by climate change
Discussion and
Analysis n/a FB-AG-440a.1
Percentage of agricultural products
sourced from regions with High or
Extremely High Baseline Water Stress
Quantitative Percentage
(%) by cost FB-AG-440a.2
Table 2.",data\frameworks\agricultural-products-standard_en-gb.pdf,6
563da9f0-7352-492e-8977-23a5f3349249,"Activity Metrics
ACTIVITY METRIC CATEGORY UNIT OF
MEASURE CODE
Production by principal crop2 Quantitative Metric tonnes
(t) FB-AG-000.A
Number of processing facilities3

Quantitative Number FB-AG-000.B
Total land area under active production Quantitative Hectares FB-AG-000.C
Cost of agricultural products sourced externally4 Quantitative Presentation
currency FB-AG-000.D
2

Note to FB-AG-000.A – Principal crops are crops that accounted for 10% or more of consolidated revenue in any of the last three fiscal
years.
3

Note to FB-AG-000.B – Processing facilities include facilities that are involved in the manufacturing, processing, packing or holding of
agricultural products, and exclude administrative offices.


4 Note to FB-AG-000.D – Agricultural products are defined as food, feed and biofuel ingredients sourced for use in the entity’s operations.",data\frameworks\agricultural-products-standard_en-gb.pdf,6
8d9d398c-a04f-402b-b71a-a52de6039df2,"4 Note to FB-AG-000.D – Agricultural products are defined as food, feed and biofuel ingredients sourced for use in the entity’s operations.


The scope of agricultural products sourced externally excludes agricultural products grown on land owned or operated by the entity.
SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 7",data\frameworks\agricultural-products-standard_en-gb.pdf,6
2f04a3b3-0661-46b5-9954-ce3fd5b47a54,"Greenhouse Gas Emissions
Topic Summary
Entities in the Agricultural Products industry generate direct greenhouse gas (GHG) emissions from processing and
transporting goods via land and sea freight operations.

Emissions regulations may increase the cost of capital,
operational costs and affect the operational efficiency of entities without strategies to manage GHG emissions.


Employing innovative technologies that use alternative fuels and energy inputs —including biomass waste generated
from internal processes —and improving fuel efficiency are ways entities can limit exposure to volatile fuel pricing,
supply disruptions, future regulatory costs and other potential consequences of GHG emissions.


Metrics
FB-AG-110a.1.

Gross global Scope 1 emissions
1",data\frameworks\agricultural-products-standard_en-gb.pdf,7
bfe41ebb-a34a-47a9-9c35-e7b264225ce1,"Metrics
FB-AG-110a.1.

Gross global Scope 1 emissions
1

The entity shall disclose its gross global Scope 1 greenhouse gas (GHG) emissions to the atmosphere of the
seven GHGs covered under the Kyoto Protocol —carbon dioxide (CO 2), methane (CH 4), nitrous oxide (N 2O),
hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur hexafluoride (SF6), and nitrogen trifluoride (NF3).


1.1 Emissions of all GHGs shall be consolidated and disclosed in metric tonnes of carbon dioxide equivalents
(CO2-e) and calculated in accordance with published 100-year time horizon global warming potential
(GWP) values.

To date, the preferred source for GWP values is the Intergovernmental Panel on Climate
Change (IPCC) Fifth Assessment Report (2014).


1.2 Gross emissions are GHGs emitted into the atmosphere before accounting for offsets, credits or other
similar mechanisms that have reduced or compensated for emissions.",data\frameworks\agricultural-products-standard_en-gb.pdf,7
d16b227e-4de9-4303-89f9-92c088860a54,"1.2 Gross emissions are GHGs emitted into the atmosphere before accounting for offsets, credits or other
similar mechanisms that have reduced or compensated for emissions.


2 Scope 1 emissions are defined and shall be calculated according to the methodology contained in The
Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard  (GHG Protocol), Revised Edition,
March 2004, published by the World Resources Institute and the World Business Council on Sustainable
Development (WRI/WBCSD).


2.1 Acceptable calculation methodologies include those that conform to the GHG Protocol  as the base
reference, but provide additional guidance, such as industry- or region-specific guidance.

Examples may
include:
2.1.1 GHG Reporting Guidance for the Aerospace Industry  published by the International Aerospace
Environmental Group (IAEG)
2.1.2",data\frameworks\agricultural-products-standard_en-gb.pdf,7
12064490-92fe-4fb9-85d2-93b050b4f6b8,"Examples may
include:
2.1.1 GHG Reporting Guidance for the Aerospace Industry  published by the International Aerospace
Environmental Group (IAEG)
2.1.2

Greenhouse Gas Inventory Guidance: Direct Emissions from Stationary Combustion Sources
published by the US Environmental Protection Agency (EPA)
2.1.3 India GHG Inventory Program
2.1.4 ISO 14064-1
SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 8",data\frameworks\agricultural-products-standard_en-gb.pdf,7
10286543-4a60-4172-8173-251bcbb2e7e3,"2.1.5 Petroleum Industry Guidelines for reporting GHG emissions, 2nd edition, 2011, published by Ipieca
2.1.6 Protocol for the quantification of greenhouse gas emissions from waste management activities
published by Entreprises pour l’Environnement (EpE).


2.2 GHG emissions data shall be consolidated and disclosed according to the approach with which the entity
consolidates its financial reporting data, which generally is aligned with the ‘financial control ’ approach
defined by the GHG Protocol , and the approach published by the Climate Disclosure Standards Board
(CDSB) described in REQ-07, ‘Organisational boundary ’, of the CDSB Framework for reporting
environmental and social information.


3

The entity may discuss any change in its emissions from the previous reporting period including whether the
change was because of emissions reductions, divestment, acquisition, mergers, changes in output or changes in
calculation methodology.",data\frameworks\agricultural-products-standard_en-gb.pdf,8
f89bbad2-4f86-4494-8758-4c35f50da3dd,"4 In the case that current reporting of GHG emissions to the CDP or other entity (for example, a national regulatory
disclosure programme) differs in terms of the scope and consolidation approach used, the entity may disclose
those emissions.

However, primary disclosure shall be according to the guidelines described above.


5 The entity may discuss the calculation methodology for its emissions disclosure, such as if data are from
continuous emissions monitoring systems (CEMS), engineering calculations or mass balance calculations.


FB-AG-110a.2.

Discussion of long- and short-term strategy or plan to manage
Scope 1 emissions, emissions reduction targets, and an analysis of performance
against those targets
1

The entity shall discuss its long- and short-term strategy or plan to manage its Scope 1 greenhouse gas (GHG)
emissions.",data\frameworks\agricultural-products-standard_en-gb.pdf,8
2afc31c1-d7ef-41cc-8792-4a37fc7e1429,"The entity shall discuss its long- and short-term strategy or plan to manage its Scope 1 greenhouse gas (GHG)
emissions.


1.1 Scope 1 emissions are defined according to The Greenhouse Gas Protocol: A Corporate Accounting and
Reporting Standard  (GHG Protocol), Revised Edition, March 2004, published by the World Resources
Institute and the World Business Council on Sustainable Development (WRI/WBCSD).


1.2 The scope of GHG emissions includes the seven GHGs covered under the Kyoto Protocol —carbon dioxide
(CO2), methane (CH 4), nitrous oxide (N 2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulphur
hexafluoride (SF6), and nitrogen trifluoride (NF3).",data\frameworks\agricultural-products-standard_en-gb.pdf,8
b87c3f2c-a198-4eba-aa87-d978b05a1032,"2 The entity shall discuss its emission reduction target(s) and analyse its performance against the target(s),
including, if relevant:
2.1 The scope of the emission reduction target (for example, the percentage of total emissions to which the
target is applicable);
2.2 Whether the target is absolute or intensity-based, and the metric denominator if it is an intensity-based
target;
SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 9",data\frameworks\agricultural-products-standard_en-gb.pdf,8
646da151-3e6d-4077-9ca9-adc40b505f5f,"2.3 The percentage reduction against the base year, with the base year representing the first year against
which emissions are evaluated towards the achievement of the target;
2.4

The time lines for the reduction activity, including the start year, the target year and the base year;
2.5 The mechanism(s) for achieving the target; and
2.6 Any circumstances in which the target or base year emissions have been, or may be, recalculated
retrospectively or the target or base year has been reset.


3

The entity shall discuss the activities and investments required to achieve the plans or targets, and any risks or
limiting factors that might affect achievement of the plans or targets.


4 The entity shall discuss the scope of its strategies, plans or reduction targets, such as whether they pertain
differently to different business units, geographies or emissions sources.


5",data\frameworks\agricultural-products-standard_en-gb.pdf,9
99744320-233f-473f-8da4-f6b186ae6d8d,"4 The entity shall discuss the scope of its strategies, plans or reduction targets, such as whether they pertain
differently to different business units, geographies or emissions sources.


5

The entity shall discuss whether its strategies, plans or reduction targets are related to, or associated with,
emissions limiting or emissions reporting-based programmes or regulations (for example, the EU Emissions
Trading Scheme, Quebec Cap-and-Trade System, California Cap-and-Trade Program), including regional,
national, international or sectoral programmes.


6 Disclosure of strategies, plans or reduction targets shall be limited to activities that were ongoing (active) or
reached completion during the reporting period.


FB-AG-110a.3.

Fleet fuel consumed, percentage renewable
1 The entity shall disclose the total amount of fuel consumed by its fleet vehicles as an aggregate figure, in
gigajoules (GJ).",data\frameworks\agricultural-products-standard_en-gb.pdf,9
3bcadd9d-e038-4b0e-bb5b-0ee73036eb76,"FB-AG-110a.3.

Fleet fuel consumed, percentage renewable
1 The entity shall disclose the total amount of fuel consumed by its fleet vehicles as an aggregate figure, in
gigajoules (GJ).


1.1 The calculation methodology for fuel consumed shall be based on actual fuel consumed as opposed to
design parameters.


1.2 Acceptable calculation methodologies for fuel consumed may include methodologies based on:
1.2.1

Adding fuel purchases made during the reporting period to beginning inventory at the start of the
reporting period, less any fuel inventory at the end of the reporting period
1.2.2 Tracking fuel consumed by vehicles
1.2.3 Tracking fuel expenses.


2 The entity shall disclose the percentage of the total amount of fuel consumed by its fleet vehicles that is
renewable fuel.


2.1 Renewable fuel generally is defined as fuel that meets all the following requirements:
2.1.1 Produced from renewable biomass
SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 10",data\frameworks\agricultural-products-standard_en-gb.pdf,9
9af97ded-7504-4aa4-9d0a-0776a9336f2a,"2.1.2 Used to replace or reduce the quantity of fossil fuel present in a transportation fuel, heating oil or jet
fuel
2.1.3 Achieved net greenhouse gas (GHG) emissions reduction on a life cycle basis.
2.2

The entity shall disclose the Standard or regulation used to determine if a fuel is renewable.


3 The scope of disclosure includes fuel consumed by vehicles owned or operated by the entity.


4 The scope of disclosure excludes fuel consumed in the transportation of the entity’s products by third parties.
SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 11",data\frameworks\agricultural-products-standard_en-gb.pdf,10
0ff50a2b-903e-4bfe-b914-efb6773ca51e,"Energy Management
Topic Summary
Processing and milling agricultural products require substantial energy input.

While some agricultural products entities
generate energy on-site through the direct combustion of fossil fuels or biomass, most energy is procured from the
electrical grid.

Energy consumption contributes to environmental impacts, including climate change and pollution.


Energy management affects current and future costs of operation.

Climate regulation and other sustainability factors
could result in higher or more volatile electricity and fuel prices, increasing operating costs for agricultural products
entities.

Therefore, energy efficiency gained through process improvements can lower operating costs.

The trade-off
between on-site versus grid-sourced electricity as well as the use of alternative energy can play important roles in
influencing both the long-term cost and reliability of an entity ’s energy supply and the extent of regulatory impact from
direct versus indirect emissions.",data\frameworks\agricultural-products-standard_en-gb.pdf,11
9fbd4059-f848-4339-930f-a861ea9a1d92,"Metrics
FB-AG-130a.1.

(1) Operational energy consumed, (2) percentage grid electricity
and (3) percentage renewable
1

The entity shall disclose (1) the total amount of energy it consumed (excluding fleet vehicles) as an aggregate
figure, in gigajoules (GJ).


1.1 The scope of energy consumption excludes fuel consumed by fleet vehicles, but includes energy from all
other sources, including energy purchased from external sources and energy produced by the entity itself
(self-generated).

For example, purchased electricity, heating, cooling and steam energy all are included
within the scope of energy consumption.


1.2 The scope of energy consumption includes only energy directly consumed by the entity during the reporting
period.


1.3 In calculating energy consumption from fuels and biofuels, the entity shall use higher heating values (HHV),
also known as gross calorific values (GCV), which are measured directly or taken from the
Intergovernmental Panel on Climate Change (IPCC).",data\frameworks\agricultural-products-standard_en-gb.pdf,11
56f77b9f-997f-4052-bc36-80f23d751f27,"2 The entity shall disclose (2) the percentage of energy it consumed (excluding fleet vehicles) that was supplied
from grid electricity.


2.1 The percentage shall be calculated as purchased grid electricity consumption divided by total energy
consumption.


3

The entity shall disclose (3) the percentage of energy it consumed (excluding fleet vehicles) that was renewable
energy.


3.1 Renewable energy is defined as energy from sources that are replenished at a rate greater than or equal to
their rate of depletion, such as geothermal, wind, solar, hydro and biomass.


SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 12",data\frameworks\agricultural-products-standard_en-gb.pdf,11
3415acbb-7536-4aa7-9d74-4b2119c20a4c,"3.2 The percentage shall be calculated as renewable energy consumption divided by total energy consumption.


3.3 The scope of renewable energy includes renewable fuel the entity consumed, renewable energy the entity
directly produced and renewable energy the entity purchased, if purchased through a renewable power
purchase agreement (PPA) that explicitly includes renewable energy certificates (RECs) or Guarantees of
Origin (GOs), a Green‐e Energy Certified utility or supplier programme, or other green power products that
explicitly include RECs or GOs, or for which Green‐e Energy Certified RECs are paired with grid electricity.


3.3.1 For any renewable electricity generated on-site, any RECs and GOs shall be retained (not sold) and
retired or cancelled on behalf of the entity for the entity to claim them as renewable energy.",data\frameworks\agricultural-products-standard_en-gb.pdf,12
7b6155e9-c4c1-4bf9-b1e9-56c9806b0ccf,"3.3.1 For any renewable electricity generated on-site, any RECs and GOs shall be retained (not sold) and
retired or cancelled on behalf of the entity for the entity to claim them as renewable energy.


3.3.2 For renewable PPAs and green power products, the agreement shall explicitly include and convey
that RECs and GOs be retained or replaced and retired or cancelled on behalf of the entity for the
entity to claim them as renewable energy.


3.3.3

The renewable portion of the electricity grid mix that is outside of the control or influence of the
entity is excluded from the scope of renewable energy.",data\frameworks\agricultural-products-standard_en-gb.pdf,12
1ca6a42a-d165-4e20-8d7d-037d43a4a995,"3.3.3

The renewable portion of the electricity grid mix that is outside of the control or influence of the
entity is excluded from the scope of renewable energy.


3.4 For the purposes of this disclosure, the scope of renewable energy from biomass sources is limited to
materials certified to a third-party standard (for example, Forest Stewardship Council, Sustainable Forest
Initiative, Programme for the Endorsement of Forest Certification or American Tree Farm System),
materials considered eligible sources of supply according to the Green-e Framework for Renewable Energy
Certification, Version 1.0  (2017) or Green-e regional standards or materials eligible for an applicable
jurisdictional renewable portfolio standard.


4 The entity shall apply conversion factors consistently for all data reported under this disclosure, such as the use of
HHVs for fuel use (including biofuels) and conversion of kilowatt hours (kWh) to GJ (for energy data including
electricity from solar or wind energy).",data\frameworks\agricultural-products-standard_en-gb.pdf,12
2f4e36d5-871b-4f98-8059-f68d52928cc0,SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 13,data\frameworks\agricultural-products-standard_en-gb.pdf,12
4e254abc-47ff-4c87-bad8-ea63f502a406,"Water Management
Topic Summary
The Agricultural Products industry relies on water for processing activities, and entities in the industry also typically
generate wastewater or effluent.

The availability of water, because of physical availability or regulatory access, directly
impacts the industry’s ability to operate processing facilities efficiently.

Entities in the industry increasingly are exposed
to water-related risks and regulations, which may increase capital expenditure costs, operating costs, remediation
costs or potential fines.

Entities can manage water-related risks and opportunities and mitigate long-term costs
through capital investments and assessment of facility locations relative to water scarcity risks, improvements to
operational efficiency, and work with regulators and communities on issues related to water access and effluent.

A
separate supply chain-oriented topic, Ingredient Sourcing, addresses the risks related to crop production driven by
water availability and access.",data\frameworks\agricultural-products-standard_en-gb.pdf,13
48eb6889-c23f-4d80-b0d7-d8d8e01b968f,"A
separate supply chain-oriented topic, Ingredient Sourcing, addresses the risks related to crop production driven by
water availability and access.


Metrics
FB-AG-140a.1.

(1) Total water withdrawn, (2) total water consumed; percentage of
each in regions with High or Extremely High Baseline Water Stress
1

The entity shall disclose the amount of water, in thousands of cubic metres, withdrawn from all sources.


1.1 Water sources include surface water (including water from wetlands, rivers, lakes and oceans),
groundwater, rainwater collected directly and stored by the entity, and water and wastewater obtained from
municipal water supplies, water utilities or other entities.


2 The entity may disclose portions of its supply by source if, for example, significant portions of withdrawals are from
non-freshwater sources.


2.1 Fresh water may be defined according to the local laws and regulations where the entity operates.",data\frameworks\agricultural-products-standard_en-gb.pdf,13
a589661b-d875-4bed-b64b-7745c9872458,"2.1 Fresh water may be defined according to the local laws and regulations where the entity operates.

If no
legal definition exists, fresh water shall be considered to be water that has less than 1,000 parts per million
of dissolved solids.


2.2 Water obtained from a water utility in compliance with jurisdictional drinking water regulations can be
assumed to meet the definition of fresh water.


3

The entity shall disclose the amount of water, in thousands of cubic metres, consumed in its operations.


3.1 Water consumption is defined as:
3.1.1 Water that evaporates during withdrawal, use and discharge
3.1.2 Water that is directly or indirectly incorporated into the entity ’s product or service
3.1.3 Water that does not otherwise return to the same catchment area from which it was withdrawn,
such as water returned to another catchment area or the sea
SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 14",data\frameworks\agricultural-products-standard_en-gb.pdf,13
0ecf4fa8-8709-4c51-aafb-96daf8857089,"4 The entity shall analyse all its operations for water risks and identify activities that withdraw and consume water in
locations with High (40 –80%) or Extremely High (>80%)

Baseline Water Stress as classified by the World
Resources Institute’s (WRI) Water Risk Atlas tool, Aqueduct.
5

The entity shall disclose water withdrawn in locations with High or Extremely High Baseline Water Stress as a
percentage of the total water withdrawn.
6

The entity shall disclose water consumed in locations with High or Extremely High Baseline Water Stress as a
percentage of the total water consumed.


FB-AG-140a.2.

Description of water management risks and discussion of
strategies and practices to mitigate those risks
1

The entity shall describe its water management risks associated with water withdrawals, water consumption and
discharge of water or wastewater.",data\frameworks\agricultural-products-standard_en-gb.pdf,14
ce020102-3736-4afe-b27f-e5b024e6100a,"The entity shall describe its water management risks associated with water withdrawals, water consumption and
discharge of water or wastewater.


1.1 Risks associated with water withdrawals and water consumption include risks to the availability of
adequate, clean water resources, which include:
1.1.1 Environmental constraints —such as operating in water-stressed regions, drought, concerns of
aquatic impingement or entrainment, interannual or seasonal variability, and risks from the impact of
climate change
1.1.2 Regulatory and financial constraints—such as volatility in water costs, stakeholder perceptions and
concerns related to water withdrawals (for example, those from local communities, non-
governmental organisations and regulatory agencies), direct competition with and impact from the
actions of other users (for example, commercial and municipal users), restrictions to withdrawals
because of regulations and constraints on the entity ’s ability to obtain and retain water rights or
permits.",data\frameworks\agricultural-products-standard_en-gb.pdf,14
5e424647-cb0e-4ab6-98e9-9fc34ce99e92,"1.2 Risks associated with the discharge of water or wastewater include the ability to obtain rights or permits
related to discharges, compliance with regulations related to discharges, restrictions to discharges, the
ability to maintain control over the temperature of water discharges, liabilities, reputational risks and
increased operating costs because of regulation, stakeholder perceptions and concerns related to water
discharges (for example, those from local communities, non-governmental organisations and regulatory
agencies).


2 The entity may describe water management risks in the context of:
2.1 How risks may vary by withdrawal source, including surface water (including water from wetlands, rivers,
lakes and oceans), groundwater, rainwater collected directly and stored by the entity, and water and
wastewater obtained from municipal water supplies, water utilities or other entities
2.2 How risks may vary by discharge destinations, including surface water, groundwater or wastewater utilities.


3",data\frameworks\agricultural-products-standard_en-gb.pdf,14
9b9c6f74-6c5a-4773-abbd-b264a757f038,"3

The entity may discuss the potential effects that water management risks may have on its operations and the time
line over which such risks are expected to manifest.


SUSTAINABILITY ACCOUNTING STANDARD| AGRICULTURAL PRODUCTS | 15",data\frameworks\agricultural-products-standard_en-gb.pdf,14
